observed_at,available_count,preparing_count,total_rooms,available_rooms
2026-09-02T07:42:26+09:00,6,0,50,305|401|418|501|518|613
2026-09-03T00:32:57+09:00,4,0,50,211|411|502|615
2026-09-03T00:39:10+09:00,4,0,50,211|411|502|615
2026-09-03T00:57:02+09:00,2,0,50,515|615
2026-09-03T01:19:33+09:00,3,0,50,413|515|615
2026-09-03T01:32:51+09:00,3,0,50,413|515|615
2026-09-03T01:46:01+09:00,2,0,50,412|611
2026-09-03T01:56:22+09:00,4,0,50,211|412|513|611
2026-09-03T02:16:13+09:00,2,0,50,412|611
2026-09-03T03:21:29+09:00,2,0,50,317|611
2026-09-03T04:14:56+09:00,2,0,50,317|502
2026-09-03T05:17:42+09:00,2,0,50,205|317
2026-09-03T06:15:54+09:00,1,0,50,205
2026-09-03T07:16:49+09:00,2,0,50,202|303
2026-09-03T08:14:58+09:00,5,0,50,202|302|303|512|517
2026-09-03T09:28:39+09:00,5,6,50,201|212|302|316|416
2026-09-03T10:21:43+09:00,2,2,50,213|402
2026-09-03T10:44:56+09:00,1,2,50,416
2026-09-03T11:22:58+09:00,2,0,50,203|312
2026-09-03T14:20:47+09:00,2,4,50,313|613
2026-09-03T14:55:29+09:00,2,4,50,302|501
2026-09-03T15:24:38+09:00,4,2,50,301|303|403|512
2026-09-03T15:48:50+09:00,4,3,50,201|301|403|512
2026-09-03T16:19:06+09:00,5,4,50,201|301|316|403|416
2026-09-03T16:45:08+09:00,6,2,50,202|301|316|403|412|612
2026-09-03T17:20:04+09:00,6,4,50,202|211|315|405|417|612
2026-09-03T17:46:05+09:00,6,3,50,201|202|405|417|518|612
2026-09-03T18:19:29+09:00,4,3,50,417|505|511|612
2026-09-03T18:32:46+09:00,5,0,50,302|413|505|511|612
2026-09-03T18:45:26+09:00,4,1,50,312|415|502|612
2026-09-03T18:56:20+09:00,4,1,50,215|412|502|612
2026-09-03T19:19:47+09:00,7,2,50,301|305|316|402|503|517|611
2026-09-03T19:32:34+09:00,5,3,50,301|402|411|503|615
2026-09-03T19:43:53+09:00,7,1,50,303|305|315|402|503|512|615
2026-09-03T19:55:20+09:00,4,2,50,205|402|503|612
2026-09-03T20:17:23+09:00,4,2,50,201|501|505|612
2026-09-03T20:29:24+09:00,3,2,50,416|503|505
2026-09-03T20:43:47+09:00,3,4,50,413|501|503
2026-09-03T20:55:30+09:00,5,4,50,211|311|413|501|613
2026-09-03T21:24:42+09:00,3,3,50,205|418|613
2026-09-03T21:49:20+09:00,3,3,50,402|417|512
